,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,VoxelFaceArea (mm^2),Sphericity,SurfaceParticles,Component 1,Component 2,PcaClusters
82,1.6532,-1244.24,-1234.42,-1654.14,0.886751,0.233556,0.484891,15.0699,0.4486668869925854,False,-1.285134360337896,-1.141110360339826,1
83,1.63647,-1243.02,-1252.78,-1633.06,0.779525,0.40814,0.540195,12.4963,0.5374128506780663,False,0.12097311777894211,-0.3849315970681449,1
84,1.62131,-1240.17,-1235.76,-1686.4,0.78732,0.456792,0.465594,15.4965,0.4306864529802752,False,-0.4123713758232256,-0.17312353956754045,1
85,1.60437,-1239.97,-1260.81,-1670.53,0.65642,0.472228,0.727572,17.096500000000002,0.3876560821453661,False,0.8569183230524898,-0.9778885540290154,1
86,1.60229,-1247.14,-1241.8,-1673.33,0.624549,0.66403,0.565412,22.6151,0.2928058123978955,False,0.6435583519619377,0.12780784426641126,2
87,1.59859,-1250.27,-1248.34,-1647.04,0.711306,0.602316,0.479306,24.724,0.2674176804744649,False,-0.27362688291714066,0.07016541198894966,1
88,1.57409,-1245.5,-1251.32,-1630.65,0.879545,0.157448,0.765049,13.9151,0.4702738528492784,False,-0.5986360523132482,-2.2633806406047063,1
89,1.56184,-1237.53,-1250.14,-1676.17,0.674508,0.521936,0.623623,12.9135,0.504116816622805,False,1.017645720411738,-0.21848394998309498,2
90,1.56054,-1241.3,-1250.51,-1638.91,0.945052,0.539588,0.101833,15.5301,0.4189476985219113,False,-2.1022981853959277,1.238631346486944,0
91,1.55055,-1236.89,-1235.9,-1670.86,0.808191,0.641787,0.298868,21.0342,0.3079985290293303,False,-1.047623235302394,0.8569487187891672,0
92,1.54395,-1244.69,-1248.94,-1709.54,0.749996,0.410151,0.609543,14.6184,0.4419160460536054,False,0.11374477374864131,-0.7786264063821675,1
93,1.53269,-1241.96,-1240.93,-1689.98,0.679316,0.715786,0.448017,14.021,0.4585021231778473,False,0.7512061451914167,1.0340963364983113,2
94,1.52316,-1241.98,-1248.75,-1634.42,0.666975,0.655867,0.507763,21.0119,0.3046836502370074,False,0.28790046639187655,0.28873039181951216,2
95,1.51472,-1242.99,-1232.0,-1684.63,0.947009,0.329297,0.160921,14.6587,0.4351211973269853,False,-2.3113761686136187,0.2085497142233774,0
96,1.49446,-1243.15,-1244.68,-1712.07,0.887058,0.910974,0.123979,22.9135,0.2758770390127911,False,-1.529163468429983,2.4460433065475895,0
97,1.44403,-1246.84,-1247.22,-1684.33,0.659892,0.694377,0.489803,17.243100000000002,0.3583050436702066,False,0.5544686911243054,0.6148709276513558,2
98,1.44032,-1251.01,-1256.73,-1668.94,0.657213,0.44292,0.773925,10.3356,0.5967435845815098,False,1.685947904890209,-0.8148365370164284,2
99,1.41993,-1250.81,-1255.04,-1698.68,0.828268,0.314276,0.546437,15.2004,0.4019207219954178,False,-0.8177770400175928,-1.078592204612155,1
100,1.41629,-1251.95,-1244.38,-1689.96,0.795235,0.458449,0.446647,12.1277,0.5028909323763038,False,-0.23495261822429991,0.03778643866727471,1
101,1.40977,-1252.09,-1251.64,-1660.22,0.786556,0.292311,0.730196,18.680200000000003,0.3254878481395764,False,-0.44148532305136345,-1.879131176637632,1
102,1.40842,-1249.07,-1246.74,-1680.1,0.767705,0.69797,0.332815,13.3623,0.4547342810095922,False,-0.08413989914680477,1.292976756166741,0
103,1.4074,-1259.29,-1246.34,-1662.51,0.830643,0.303489,0.558031,11.1493,0.5447303265055345,False,-0.2949970241285256,-0.8678948291647601,1
104,1.40574,-1243.51,-1244.04,-1704.11,0.67575,0.631674,0.513319,15.8846,0.3820420586348366,False,0.49181359236478694,0.32731696529347853,2
105,1.40153,-1247.91,-1248.5,-1684.74,0.905682,0.407395,0.231514,13.9538,0.4340368098520354,False,-1.7531093166513383,0.3245223907770144,0
106,1.38503,-1236.46,-1235.11,-1680.4,0.823865,0.395384,0.445479,11.4275,0.5258223173189033,False,-0.43547438986419806,-0.179293759538222,1
107,1.38315,-1246.63,-1261.08,-1665.57,0.832524,0.608854,0.275068,14.9496,0.4015756823280337,False,-0.9624339415539238,0.9794119532104911,0
108,1.36411,-1245.65,-1237.69,-1694.39,0.962454,0.108176,0.347079,13.0015,0.4574991160353872,False,-2.2698098744524104,-1.2395459342432535,0
109,1.35705,-1241.14,-1258.06,-1680.81,0.804382,0.306105,0.639055,13.1394,0.4511342744641535,False,-0.2824879491268121,-1.2907111529262423,1
110,1.31776,-1241.02,-1252.56,-1625.22,0.579989,0.470293,0.893084,19.2403,0.3021086536791235,False,1.3856112457681793,-1.6549853175557525,1
111,1.31395,-1244.77,-1243.2,-1632.03,0.847213,0.617252,0.247527,13.3212,0.4355051903369076,False,-0.9729767455365843,1.1660614236252103,0
112,1.30665,-1245.2,-1262.66,-1671.02,0.625969,0.618089,0.605141,11.322,0.5105055749450274,False,1.4516915504297685,0.2584558910552117,2
113,1.2806,-1255.41,-1251.01,-1682.43,0.807318,0.435413,0.442528,10.5457,0.5407763750503136,False,-0.21769600010959408,0.029719032776945337,1
114,1.27428,-1249.98,-1242.5,-1677.63,0.632192,0.602705,0.610262,10.142,0.5604502873568672,False,1.5846019442387533,0.27968039469707795,2
115,1.27017,-1242.76,-1242.83,-1632.75,0.606645,0.571713,0.688029,15.3729,0.3689517344754751,False,1.1579561287772948,-0.4743628625892703,2
